"Product Code","Product Name",Variant,Expected,Counted
07467636,Chips,,-3793.0000,
11170321,jhjhjh,,7.0000,
13093743,Nuts,"test variant",-7.0000,
14099202,Suger,"test variant",-5.0000,
14099202,Suger,abc,-7.0000,
14099202,Suger,"32 inch",-1.0000,
24334401,"britannia 50-50",,25.0000,
28185820,waffers,pinkwafers,10.0000,
28185820,waffers,yellowwafers,10.0000,
28787523,ball,,44.0000,
34816912,123a,,0.0000,
40712179,waterbottel,,-1.0000,
42388606,bat,,47.9200,
56691905,inoutcheck,,16.0000,
69787802,women,,350.0000,
71142110,"teddy bear",,65.0000,
71936837,biscuit,,-6.0000,
72988438,test1123,,3.0000,
77042435,chetan123,,-3.0000,
79447537,"teddy bear",,67.0000,
82089294,"tender coconut bulk",,109.7600,
85086124,Bread,,102211567.0000,
94032496,"transfer test product",,40.0000,
96032897,dfghjk,,0.0000,
99168551,chocolate,,-202.0000,
