"Product Code","Product Name",Variant,Expected,Counted
02635390,AMOL_TEST_PRODUCT_2,,0.0000,
06917741,"desi biscuits",,0.0000,
07467636,Chips,,250.0000,
07759020,sdf,,0.0000,
07789442,"scentido test12",,0.0000,
08361692,"vanilla cream11",,0.0000,
104726457,"Loreal BB Creame",,0.0000,
11170321,jhjhjh,,0.0000,
11342193,testing23,,0.0000,
11547277,"Alphabet Little ABC",,0.0000,
11653693,testapc,,0.0000,
122114084,"Aquapolo Lunch Box",,-2.0000,
12275086,transfer28,,0.0000,
12783751,TestProduct,,0.0000,
13431337,abcd,,0.0000,
14241871,bvcx,,0.0000,
14265107,"Rajatt Test",,0.0000,
14678707,monaco,,0.0000,
15901737,"sales gst",,0.0000,
16576124,testproduct2,,0.0000,
16887398,2test,,20.0000,
17114412,"Olive Oil",,0.0000,
179021473,"black forest",,0.0000,
19024475,testaabbcc,,100.0000,
190342305,simplysafedairy,,0.0000,
19708950,gps,,0.0000,
198364347,"Product ram 25",,0.0000,
19891344,chaiiii1,,0.0000,
19971318,dcb,,0.0000,
216480266,Lips,,0.0000,
24334401,"britannia 50-50",,0.0000,
250176637,"Compact Small Lunch Box",,0.0000,
26329168,pepsi,,0.0000,
26897043,dairy,,0.0000,
27626583,Abhayarishtam,,0.0000,
27714899,xxxz,,0.0000,
27756942,"Figora Olive Oil",,0.0000,
28403364,"golden (200)",,0.0000,
28787523,ball,,0.0000,
29108889,"Product ram 31",,0.0000,
30159302,tranfercsv,,0.0000,
32614481,abcd,,0.0000,
34430084,"special box",,0.0000,
34816912,123a,,20.0000,
34841181,abc43431,,0.0000,
349083330,"Product ram 21",,0.0000,
35117648,Kitkat,,0.0000,
351212390,"Niviea Cr",,0.0000,
355040571,"Classic Lunch Box",,0.0000,
362572644,paynearone,,0.0000,
38066407,sujay123,,0.0000,
39043925,qwerty,,0.0000,
406735552,"Product ram 18",,0.0000,
40845777,jkl,,0.0000,
411797789,"simply 1",,0.0000,
41198535,"white forest",,0.0000,
41683525,appleabc,,0.0000,
41874530,marigold12,,0.0000,
42388606,bat,,0.0000,
42705807,12,,20.0000,
43647020,sunil11,,0.0000,
44336450,asdfghjkl,,0.0000,
44394265,iPhone,,0.0000,
45717121,transfer333,,0.0000,
47391844,"Test Product",,0.0000,
47436261,Motorola,,0.0000,
49664218,testapc11,,0.0000,
49868056,"variant test","32 inch",0.0000,
49868056,"variant test","red color",0.0000,
49868056,"variant test","pink color",0.0000,
51511218,"gugal dhoop sticks",,0.0000,
52669527,restaurants,,0.0000,
52907911,ij,,0.0000,
53243087,milkkkk1,,0.0000,
55406439,sdsdsds,,0.0000,
558373512,"Product ram 26",,0.0000,
56691905,inoutcheck,,0.0000,
57176110,"Clinic Plus 100 ML",,0.0000,
57532820,6666warehouse,,20.0000,
576302989,"red velvet",,0.0000,
58743074,todaysales112,,0.0000,
59099529,123,,20.0000,
59639402,ransfer5556,,0.0000,
60275895,KETCHUP(PRATIMA),,0.0000,
62962432,"Test File",,0.0000,
64315467,"KOT test1",,0.0000,
64624658,"chai patti",,0.0000,
64917411,"Red Wine",,0.0000,
65265647,"80 mm printer",,0.0000,
65454914,"red book list",,0.0000,
66923296,123,,20.0000,
67484859,"Test product",,0.0000,
68065674,"testing ice",,0.0000,
68972790,123,,20.0000,
69450522,coneice,,0.0000,
69787802,women,,0.0000,
70816447,NNN,,0.0000,
71142110,"teddy bear",,0.0000,
72143012,bnm,,0.0000,
72988438,test1123,,0.0000,
736018876,Nails,,0.0000,
73631612,"orange juice",,0.0000,
749560815,"choco chips",,0.0000,
74964595," tooth paste",,20.0000,
750386584,Legs,,0.0000,
759717946,"Double Decker Lunch Box",,0.0000,
765541283,"Stainless Steel Lunch Box",,0.0000,
77042435,chetan123,,0.0000,
77982237,"eno lemon",,0.0000,
79447537,"teddy bear",,0.0000,
81567325,"golden tea(200)",,0.0000,
82089294,"tender coconut bulk",,0.0000,
84602661,"mango icecream","per cup",0.0000,
84602661,"mango icecream","icecream with cone",0.0000,
85086124,Bread,,0.0000,
85281376,cone11,,0.0000,
86278281,"Moisturiser gucci",,0.0000,
87419212,1111,,20.0000,
88001440,"rabdi icecream per kg",,0.0000,
88468556,chocolate,,0.0000,
88863516,Milk,,0.0000,
89210923,testccp,,0.0000,
899826956,"Combi Plastic",,0.0000,
91366706,"58 mm printer","red color",0.0000,
91366706,"58 mm printer","pink color",0.0000,
91718386,"Mixture namkeen",,0.0000,
931132074,"butter scotch",,0.0000,
93177932,abce,,0.0000,
93897700,testing1234,,0.0000,
94032496,"transfer test product",,0.0000,
95608936,sunsilk,,0.0000,
95704685,"black current",,0.0000,
96129671,"double box",,-1.0000,
976172672,"Product ram 22",,0.0000,
985381212,Hair,note,0.0000,
985381212,Hair,large,0.0000,
985381212,Hair,small,0.0000,
99772920,combo112,,0.0000,
AAA12,"hcl printer",,53.0000,
AAA13,"hathway printer",,100.0000,
code128,"MM CASHEWS 4PC 250G",,0.0000,
prd-15,"WEIKFIELD CORN FLOUR 100 GM",,0.0000,
prd-1999,"WEIKFIELD CORN FLOUR 500 GM",,0.0000,
