"Product Code","Product Name",Variant,Expected,Counted
0007,Momos,,0.0000,
00123,"Product 1",102.25,0.0000,
00123,"Product 1",xyz,10.0000,
00123,"Product 1",new,4.0000,
00430487,"Testing Transfer 1",,94.0000,
0093,"Product 2",xyz,15.0000,
01207174,"Manchurian Noodles",Non-veg,116.0000,
01207174,"Manchurian Noodles",Veg,2.0000,
01532449,"chilli flakes",,4.0000,
02316116,Product1090,"32 inch",10.0000,
02316116,Product1090,sdf,10.0000,
02635390,AMOL_TEST_PRODUCT_2,fgdfggdf,0.0000,
02635390,AMOL_TEST_PRODUCT_2,a,-2.0000,
02635390,AMOL_TEST_PRODUCT_2,B,0.0000,
02635390,AMOL_TEST_PRODUCT_2,,0.0000,
02806787,"Khasta Kachori",,-21.0000,
02997963,"Entry Ticket",,10.0000,
03102042,"Chocolate ninja Icecream",,10.0000,
05098173,Lipstik,red,-1.0000,
05098173,Lipstik,purple,-1.0000,
05098173,Lipstik,orange,0.0000,
05282334,"butterscotch cakes",,0.0000,
06128854,"amla shikakai",amla,17.0000,
06128854,"amla shikakai",shikakai,0.0000,
06625447,"Plain maggie",,111.0000,
06917741,"desi biscuits",,30.0000,
07411405,neluumm,neeluss,0.0000,
07467636,Chips,,30.0000,
07759020,sdf,,7.0000,
07789442,"scentido test12",,0.0000,
08361692,"vanilla cream11",,92.0000,
08365415,"Chinese Bhel",,55.0000,
08825265,"Idli Sambar",,-32.0000,
09816038,"Palak Pakora",,-2.0000,
100742575,"Test Restaturant 1  08-07-2019",102.25,10.0000,
10127738,neelutest,,10.0000,
102345,apple,20,-1.0000,
104726457,"Loreal BB Creame",,-2.0000,
10537769,"cheese Slice",,21.0000,
10555990,"product rajat",,-2.0000,
11023816,"Chicken Soup",,-1.0000,
11155162,"Chole Bhature",,-48.7266,
11159077,Paywiff,,-5.0000,
11170321,jhjhjh,,7.0000,
11342193,testing23,,-10.0000,
11547277,"Alphabet Little ABC",,-1.0000,
11653693,testapc,,48.0000,
116621565,"Product 12 ram",,1.0000,
119795615,"Test 11",,0.0000,
12089185,"Pav Bhaji",,-1.0000,
12129799,panda,,-5.0000,
122114084,"Aquapolo Lunch Box",NOTE,-7.0000,
122114084,"Aquapolo Lunch Box",SPICY,-18.0000,
122114084,"Aquapolo Lunch Box",MILD,-8.0000,
122114084,"Aquapolo Lunch Box",MEDIUM,-14.0000,
12275086,transfer28,,0.0000,
