"Product Code","Product Name",Variant,Expected,Counted
00614465,Nailpaint,,780001040.0000,
01207174,"Manchurian Noodles",Non-veg,148.0000,
01207174,"Manchurian Noodles",Veg,0.0000,
02635390,AMOL_TEST_PRODUCT_2,fgdfggdf,0.0000,
02635390,AMOL_TEST_PRODUCT_2,a,-1.0000,
02635390,AMOL_TEST_PRODUCT_2,B,0.0000,
02635390,AMOL_TEST_PRODUCT_2,,0.0000,
02806787,"Khasta Kachori",,0.0000,
02997963,"Entry Ticket",,10.0000,
05098173,Lipstik,red,7400.0000,
05098173,Lipstik,purple,990.0000,
05098173,Lipstik,orange,0.0000,
05282334,"butterscotch cakes",,29.0000,
06339785,"Bisleri Bottle",,499.0000,
06625447,"Plain maggie",,111.0000,
06917741,"desi biscuits",,30.0000,
07467636,Chips,,96216.0000,
07759020,sdf,,7.0000,
07789442,"scentido test12",,0.0000,
08361692,"vanilla cream11",,93.0000,
08365415,"Chinese Bhel",,51.0000,
08825265,"Idli Sambar",,-1.0000,
09816038,"Palak Pakora",,-1.0000,
10127738,neelutest,,11.0000,
104726457,"Loreal BB Creame",,-6.0000,
10555990,"product rajat",,-2.0000,
11023816,"Chicken Soup",,0.0000,
11155162,"Chole Bhature",,-22.7333,
11159077,Paywiff,,-5.0000,
11170321,jhjhjh,,7.0000,
11342193,testing23,,-10.0000,
11547277,"Alphabet Little ABC",,11.0000,
11653693,testapc,,48.0000,
116621565,"Product 12 ram",,1.0000,
119795615,"Test 11",,0.0000,
122114084,"Aquapolo Lunch Box",NOTE,-7.0000,
122114084,"Aquapolo Lunch Box",SPICY,-84.0000,
122114084,"Aquapolo Lunch Box",MILD,-8.0000,
122114084,"Aquapolo Lunch Box",MEDIUM,-14.0000,
12275086,transfer28,,0.0000,
12328565,AMOL_TEST_PRO_1,,-3.0000,
123456,"Product 11",102.25,-1.0000,
124107763,Testing4,,-1.0000,
12783751,TestProduct,,0.0000,
13093743,Nuts,"test variant",-9.0000,
13093743,Nuts,abc,-1.0000,
132485704,"Loreal Paris fall Resist",,-1.0000,
13274311,simplys,,-8.0000,
13431337,abcd,,-1.0000,
13528936,offline1235,,-26.0000,
135538096,"Matrix Biolage",,-30.0000,
13599706,"Mineral water",,-1.0000,
14040497,"sugar beg 5kg",,0.0000,
14099202,Suger,"test variant",-5.0000,
14099202,Suger,abc,-7.0000,
14099202,Suger,"32 inch",-1.0000,
14241871,bvcx,,46.0000,
14265107,"Rajatt Test",,10.0000,
14357606,"Paneer Chilly Dosa",,199.0000,
14635498,Casata,,-63.0000,
14678707,monaco,,81.0000,
15521408,Rajma,,10.0000,
15838472,"Paneer Tikka",,-5.0000,
15889389,yyy2,,-1.0000,
15901737,"sales gst",,98.0000,
15919741,"Moong daal Kachori",,-6.0000,
16576124,testproduct2,,-1.0000,
16846877,"qqqq test1",,99.0000,
16887398,2test,,-1.0000,
16912665,BAG,"office bag",46.0000,
16912665,BAG,"school bag",50.0000,
17101304,"Mysore Butter Masala Dosa",,-4.0000,
17114412,"Olive Oil",,449705.0000,
17623248,OST,,-1.0000,
176897466,"Loreal Age perfect",,-26.0000,
17895054,devpos,,-9.0000,
179021473,"black forest",,-12.0000,
181629914,"Glass Lunch Box",,-11.0000,
18167472,"garlic bread",,-2.0000,
19024475,testaabbcc,,0.0000,
190342305,simplysafedairy,106.25,-4.0000,
190583468,"Product ram 28",blue,0.0000,
