"Product Code","Product Name",Variant,Expected,Counted
02635390,AMOL_TEST_PRODUCT_2,fgdfggdf,0.0000,
02635390,AMOL_TEST_PRODUCT_2,a,-2.0000,
02635390,AMOL_TEST_PRODUCT_2,B,0.0000,
02635390,AMOL_TEST_PRODUCT_2,,0.0000,
25381710,aaa124,,-47.0000,
28403364,"golden (200)",,2466.0000,
33287725,"fererro rocher",,10.0000,
44394265,iPhone,"iPhone 5S",90.0000,
44394265,iPhone,"iPhone 6S",97.0000,
44394265,iPhone,"iPhone SE",96.0000,
44394265,iPhone,"Moto X6",-2.0000,
47436261,Motorola,"Moto E4",-5.0000,
47436261,Motorola,"Moto G5",-1.0000,
47436261,Motorola,"Moto X6",-3.0000,
47436261,Motorola,Note,-6.0000,
52669527,restaurants,,86.0000,
73366890,ZZZ,,-1.0000,
77,Noodles,,188.0000,
tea100,tea-100,,369.0000,
