"Product Code","Product Name",Variant,Expected,Counted
00614465,Nailpaint,,0.0000,
01207174,"Manchurian Noodles",,0.0000,
02635390,AMOL_TEST_PRODUCT_2,,0.0000,
02806787,"Khasta Kachori",,0.0000,
05098173,Lipstik,red,0.0000,
05098173,Lipstik,purple,0.0000,
05098173,Lipstik,orange,0.0000,
05282334,"butterscotch cakes",,0.0000,
06917741,"desi biscuits",,0.0000,
07467636,Chips,,0.0000,
07759020,sdf,,0.0000,
07789442,"scentido test12",,0.0000,
08361692,"vanilla cream11",,0.0000,
08365415,"Chinese Bhel",,0.0000,
08825265,"Idli Sambar",,0.0000,
09816038,"Palak Pakora",,0.0000,
104726457,"Loreal BB Creame",,0.0000,
10555990,"product rajat",,0.0000,
11023816,"Chicken Soup",,0.0000,
11159077,Paywiff,,0.0000,
11170321,jhjhjh,,0.0000,
11342193,testing23,,0.0000,
11547277,"Alphabet Little ABC",,0.0000,
11653693,testapc,,0.0000,
119795615,"Test 11",,0.0000,
122114084,"Aquapolo Lunch Box",,0.0000,
12275086,transfer28,,0.0000,
12783751,TestProduct,,0.0000,
13093743,Nuts,,-8.0000,
132485704,"Loreal Paris fall Resist",,0.0000,
13431337,abcd,,1.0000,
135538096,"Matrix Biolage",,0.0000,
13599706,"Mineral water",,0.0000,
14040497,"sugar beg 5kg",,0.0000,
14099202,Suger,,0.0000,
14241871,bvcx,,0.0000,
14265107,"Rajatt Test",,0.0000,
14357606,"Paneer Chilly Dosa",,0.0000,
14678707,monaco,,0.0000,
15901737,"sales gst",,0.0000,
16576124,testproduct2,,0.0000,
16887398,2test,,0.0000,
16912665,BAG,,0.0000,
17101304,"Mysore Butter Masala Dosa",,0.0000,
17114412,"Olive Oil",,0.0000,
176897466,"Loreal Age perfect",,0.0000,
17895054,devpos,,0.0000,
179021473,"black forest",,0.0000,
19024475,testaabbcc,,0.0000,
190342305,simplysafedairy,,0.0000,
190583468,"Product ram 28",blue,0.0000,
19708950,gps,,0.0000,
198364347,"Product ram 25",green,0.0000,
19891344,chaiiii1,,1.0000,
19971318,dcb,,0.0000,
20008184,"Veg Chowmein",,0.0000,
20138750,"Onion Dosa",,100.0000,
216113067,pencil,,0.0000,
216480266,Lips,,0.0000,
2166998112,"Water Bottle",,0.0000,
21907885,"Manchurian Fried rice",,0.0000,
231773343,"mobile 3",,12.0000,
24334401,"britannia 50-50",,0.0000,
250176637,"Compact Small Lunch Box",,-3.0000,
25665982,"Test File123",,0.0000,
25725101,"Schezwan Dosa",,0.0000,
26329168,pepsi,,-5.0000,
26897043,dairy,,0.0000,
27626583,Abhayarishtam,,0.0000,
27714899,xxxz,,0.0000,
27756942,"Figora Olive Oil",,0.0000,
28403364,"golden (200)",,0.0000,
28787523,ball,,0.0000,
29108889,"Product ram 31",,0.0000,
295602770,"Loreal skin Perfect creme",,0.0000,
30159302,tranfercsv,,0.0000,
310109281,"Wella Professional",,0.0000,
32614481,abcd,,0.0000,
326291451,"Himalaya Anti Hair fall",,0.0000,
341739618,"Khadi Professinal",,0.0000,
34430084,"special box",,0.0000,
34841181,abc43431,,1.0000,
349083330,"Product ram 21",green,0.0000,
35117648,Kitkat,,0.0000,
351212390,"Niviea Cr",,0.0000,
35498211,"Veg Noodles",Spicy,0.0000,
35498211,"Veg Noodles",Mild,0.0000,
35498211,"Veg Noodles","less Spicy",0.0000,
355040571,"Classic Lunch Box",,100.0000,
35992667,"Paneer Pakora",,0.0000,
362572644,paynearone,,0.0000,
36374786,Necklace,,0.0000,
37844681,"Patanjali Ghee",,0.0000,
38066407,sujay123,,0.0000,
38674056,"Hakka Noodles",,0.0000,
39043925,qwerty,,0.0000,
406735552,"Product ram 18",,0.0000,
40712179,waterbottel,,0.0000,
40786640,"Bajaj olive oil (1 Liter)",,-9.0000,
40845777,jkl,,0.0000,
411797789,"simply 1",,10.0000,
41198535,"white forest",,0.0000,
41683525,appleabc,,0.0000,
41874530,marigold12,,0.0000,
42388606,bat,,0.0000,
428827050,"mobile 1",,10.0000,
43158271,"testing product",,0.0000,
43647020,sunil11,,0.0000,
44319003,"Veg Manchurian","With Gravy",0.0000,
44319003,"Veg Manchurian",Dry,0.0000,
44336450,asdfghjkl,,0.0000,
44394265,iPhone,,0.0000,
44464001,"Garlic Roast Dosa",,0.0000,
44698944,"Bread Pakora",,0.0000,
44853019,"Patanjali soap",,0.0000,
45717121,transfer333,,0.0000,
461719914,"Head & Shoulders (Green apple)",,0.0000,
47391844,"milk Product",,0.0000,
47436261,Motorola,"Moto E4",0.0000,
47436261,Motorola,"Moto G5",0.0000,
47436261,Motorola,"Moto X6",0.0000,
48415219,"Butterscotch K",,0.0000,
48794654,"Masala Dosa",,100.0000,
49516869,Kajal,,0.0000,
49664218,testapc11,,0.0000,
49868056,"variant test","32 inch",0.0000,
49868056,"variant test","red color",0.0000,
49868056,"variant test","pink color",0.0000,
49974367,"Plain Dosa",,100.0000,
50023746,"Veg Schezwan Noodles",,0.0000,
51187385,testkavya,kavyared,0.0000,
51187385,testkavya,kavyablue,0.0000,
51511218,"gugal dhoop sticks",,0.0000,
51983247,tandur,,0.0000,
526372033,check4,,500.0000,
52669527,restaurants,,0.0000,
52907911,ij,,0.0000,
53153183,table,,0.0000,
53243087,milkkkk1,,0.0000,
53641441,samsung,,0.0000,
54161598,Appam,,0.0000,
54977614,liner,,0.0000,
551079693,"mobile 2",,11.0000,
55201629,ccd,,0.0000,
55406439,sdsdsds,,0.0000,
55480101,"product vipin",,0.0000,
558373512,"Product ram 26",red,0.0000,
56691905,inoutcheck,,0.0000,
57027306,"Test Urbanpiper",,0.0000,
57176110,"Clinic Plus 100 ML",,1.0000,
57474072,"Mexican Roast Dosa",,0.0000,
576302989,"red velvet",,0.0000,
58743074,todaysales112,,0.0000,
59639402,ransfer5556,,0.0000,
60275895,KETCHUP(PRATIMA),,0.0000,
60576824,waterbottel1,,0.0000,
607398016,"mobile 4",,13.0000,
61272290,"Spicy maggie",,0.0000,
61998511,"Rawa Idli",,0.0000,
62962432,"Test File",,0.0000,
63851105,"Sev Puri",,0.0000,
64315467,"KOT test1",,0.0000,
64624658,"chai patti",,1.0000,
64917411,"Red Wine",,0.0000,
65265647,"80 mm printer",,50.0000,
65454914,"red book list",,0.0000,
66923296,123,,0.0000,
68065674,"testing ice",,0.0000,
68285732,sugar1,,0.0000,
68721883,"Paper Dosa",,100.0000,
69227419,apeksha1,,0.0000,
69450522,coneice,,0.0000,
69584027,"sample Test Variants Prd",,0.0000,
69787802,women,,0.0000,
70650300,Product123,,-6.0000,
70816447,NNN,,0.0000,
71142110,"teddy bear",,0.0000,
72143012,bnm,,0.0000,
72988438,test1123,,0.0000,
736018876,Nails,,0.0000,
73631612,"orange juice",,0.0000,
749560815,"choco chips",,0.0000,
74964595," tooth paste",,1.0000,
750386584,Legs,,0.0000,
756731563,"VLCC hair fall shampoo",,-7.0000,
759717946,"Double Decker Lunch Box",,0.0000,
765541283,"Stainless Steel Lunch Box",,-1.0000,
76BBBB76,Testappy,,0.0000,
77042435,chetan123,,0.0000,
77156162,"Manchurian Dosa",,100.0000,
77722432,"Veg Crunchy",,0.0000,
77982237,"eno lemon",,0.0000,
78490065,appyfizz,appyfizz1,0.0000,
78490065,appyfizz,appyfizz2,0.0000,
78945612,"Charger 2",,0.0000,
79447537,"teddy bear",,0.0000,
81437200,"Fried Rice",,0.0000,
82089294,"tender coconut bulk",,0.0000,
82993694,rice,,0.0000,
84602661,"mango icecream","per cup",0.0000,
84602661,"mango icecream","icecream with cone",0.0000,
84716979,"Coffee Pastry","With Mocha Frosting",0.0000,
84716979,"Coffee Pastry","With Mocha Frosting",0.0000,
85086124,Bread,,0.0000,
85281376,cone11,,0.0000,
86278281,"Moisturiser gucci",,0.0000,
87419212,1111,,0.0000,
88001440,"rabdi icecream per kg",,0.0000,
881609939,"mobile 5",,14.0000,
88265460,"artificial nails",,0.0000,
88468556,chocolate,,0.0000,
88689842,"Fried Tofu","with Rice",0.0000,
88689842,"Fried Tofu","Without Rice",0.0000,
88863516,Milk,,0.0000,
88916520,oil(pratima),,0.0000,
8906033881051,"oil(pratima singh)",,0.0000,
89210923,testccp,,0.0000,
899826956,"Combi Plastic",,0.0000,
906938198,"Loreal Revitalift night creme",,0.0000,
91366706,"58 mm printer","red color",0.0000,
91366706,"58 mm printer","pink color",0.0000,
91718386,"Mixture namkeen",,0.0000,
92091189,"Dahi Papdi Chaat",,0.0000,
