"Product Code","Product Name",Variant,Expected,Counted
07467636,Chips,,50.0000,
08713139,MMM,,-2.0000,
10147473,bcd,,0.0000,
10402700,"cafe tea",,0.0000,
11547277,"Alphabet Little ABC",,-1.0000,
11653693,testapc,,4.0000,
122114084,"Aquapolo Lunch Box",SPICY,-36.0000,
122114084,"Aquapolo Lunch Box",MILD,-6.0000,
122114084,"Aquapolo Lunch Box",MEDIUM,-4.0000,
12783751,TestProduct,,180.0000,
15889389,yyy2,,-3.0000,
16576124,testproduct2,,156.0000,
16887398,2test,,-1.0000,
17114412,"Olive Oil",,5.0000,
179021473,"yellow banana 2",,-1.0000,
181629914,"Glass Lunch Box",,-10.0000,
19024475,testaabbcc,,800.0000,
190342305,simplysafedairy,106.25,-5.0000,
19891344,chaiiii1,,-0.0200,
250176637,"Compact Small Lunch Box",mild,-9.0000,
250176637,"Compact Small Lunch Box",medium,-4.0000,
28124288,"test product",,-1.0000,
297743614,"Executive Lunch Box with Bag",,-16.0000,
32614481,abcd,,-2.0000,
326291451,"Himalaya Anti Hair fall",,5.0000,
32761610,category55,,-1.0000,
34430084,"special box",,-56.0000,
352496542,"Small Plastic Container",,-32.0000,
355040571,"Classic Lunch Box",,-209.0000,
40786640,"Bajaj olive oil (1 Liter)",,5.0000,
41198535,AQS,,-1.0000,
42705807,12,,-8.0000,
47391844,"Test Product",,25.0000,
47709583,aq,,-2.0000,
48150463,cup,,-1.0000,
49664218,testapc11,,4.0000,
49748336,abc1234,,-10.0000,
51511218,"gugal dhoop sticks",,4.0000,
53243087,milkkkk1,,-0.2000,
57176110,"Clinic Plus 100 ML",,5.0000,
57532820,6666warehouse,,-3.0000,
576302989,"yellow banana 3",,-1.0000,
66923296,123,,-7.0000,
69450522,coneice,,-1.0000,
70816447,NNN,,-1.0000,
72143012,bnm,,-1.0000,
73366890,ZZZ,,50.0000,
749560815,"yellow banana 1",,-1.0000,
74964595," tooth paste",,50.0000,
759717946,"Double Decker Lunch Box",,-9.0000,
765541283,"Stainless Steel Lunch Box",,-174.0000,
81081187,abc2,,-1.0000,
81567325,"golden tea(200)",,-1.0000,
83920229,addd555,,-2.0000,
85086124,Bread,,0.0000,
86278281,"Moisturiser gucci",,5.0000,
86814052,abc34341,,-1.0000,
87419212,1111,,-9.0000,
88070357,yyy,,-3.0000,
887104629,"Vacuum Seal Leak proof Lunch Box",,-23.0000,
88863516,Milk,,9.0000,
89210923,testccp,,-1.0000,
899826956,"Combi Plastic",,-25.0000,
93177932,abce,,-3.0000,
96129671,"double box",,-16.0000,
97167725,"test 555",,-2.0000,
tea100,tea-100,,-41.0000,
