Code,Quantity,Variant
462152151,18,
106180980,15,
928271434,15,
795143631,12,
962648444,10,
922570507,8,
274146298,8,
838872696,7,
10287,6,
35246,6,
744794606,6,
843810452,6,
930756606,6,
32411,6,
64565,5,
785413781,5,
676013044,5,
20320,4,
360012004,4,
143532665,4,
555344521,4,
717234086,3,
65485,3,
852890672,3,
64669,3,
222917801,3,
896596305,3,
63574,3,
593560841,3,
32457,3,
940353977,3,
933733183,3,
31478,3,
347588638,3,
409458620,3,
418403077,3,
276871122,3,
152085385,3,
845982537,2,
106365661,2,
20140,1,
267797407,1,
261062088,1,
