"Product Code","Product Name",Variant,Expected,Counted
001964,"Customised Cake",,0.0000,
001965,"Customised Cake",,0.0000,
001966,"Customised Cake",,0.0000,
001967,"Customised Cake",,0.0000,
001968,"Customised Cake",,0.0000,
001969,"Customised Cake",,0.0000,
001970,"Customised Cake",,0.0000,
001971,"Customised Cake",,0.0000,
001972,"Customised Cake",,0.0000,
001973,"Customised Cake",,0.0000,
001974,"Customised Cake",,0.0000,
001975,"Customised Cake",,0.0000,
001976,"Customised Cake",,0.0000,
001977,"Customised Cake",,0.0000,
001978,"Customised Cake",,0.0000,
001979,"Customised Cake",,0.0000,
001980,"Customised Cake",,2.0000,
001981,"Customised Cake",,0.0000,
001982,"Customised Cake",,0.0000,
001983,"Customised Cake",,0.0000,
001984,"Customised Cake",,0.0000,
001985,"Customised Cake",,0.0000,
001986,"Customised Cake",,0.0000,
001987,"Customised Cake",,0.0000,
001988,"Customised Cake",,0.0000,
001989,"Customised Cake",,0.0000,
001990,"Customised Cake",,0.0000,
001991,"Customised Cake",,0.0000,
001992,"Customised Cake",,1.0000,
01151136,"Traditional Plum Cake with Rum & egg 500gms",,0.0000,
01687796,"Plum Cake 500 gms eggless without Rum (kids)",,0.0000,
01804602,Null1,,1.0000,
02238165,"Christmas Themed Popsicles",,0.0000,
02298250,"Wooden Knife",,19.0000,
02621205,Null1,,0.0000,
02914811,"Black Forest Cake 1 Kg",,1.0000,
03374515,"Whole Wheat Shrewsbury Cookies",,2.0000,
03598331,VTEMP4,,0.0000,
03730237,"Box of 6Cupcake",,20.0000,
03952236,"Diwali Special Box of 12 Chocolates",,0.0000,
04225135,"chochip muffin [pack of 6]",,0.0000,
04241466,"Doiuble chocochip Single Cookies",,20.0000,
04356603,Null1,,0.0000,
04839735,"Printer Rolls",,17.0000,
05057875,"Traditional Plum Cake with rum & eggless 450 gms",,0.0000,
05233968,Null1,,0.0000,
05539190,"Mother's day special chocolate truffle cake  (Half KG )",,0.0000,
05567009,"Mother's day Special Rainbow Cake (Half KG)",,0.0000,
05707439,"Belgium Dark chocolate cake 1/2 kg",,0.0000,
05974860,"Plastic Bag medium 13*16",,0.0000,
06019546,"Rakhi special cake (Chocolate)",,0.0000,
06249784,"Magic Candles",,130.0000,
08011922,"Assorted chocolate pouch(10 chocolates)",,4.0000,
08144496,"Plastic Carry Bags Big 17*23",,0.0000,
08836703,"Thandai Pastry",,0.0000,
09574697,"Pinata with Gems & Chocolates",,1.0000,
09653150,"Christmas Chocoballs",,0.0000,
09790172,"Pita Bread (Pack of 2)",,-1.0000,
09873137,"Birthday Topper",,10.0000,
09997957,"Christmas Premium Cupcakes (Box of 6)",,0.0000,
102383107,"Pineapple Shiffon  cake 1/2 Kg",,1.0000,
10287,"Walnut Brownie",,0.0000,
103177681,"Veg SW",,0.0000,
104558697,"Mocha Pastry",,-1.0000,
10595736,"Red Velvet Heart Shape Cookies",,4.0000,
10608493,"Rose Coconut half kg cake",,1.0000,
106180980,Donuts,,0.0000,
106365661,"Chocochip Cookies",,1.0000,
11147230,"Chocolate Chocochips Half kg cake",,1.0000,
11253088,"Cello Tape",,14.0000,
11454398,"1 Kg Boxes",,86.0000,
115755333,"Veg burgers",,0.0000,
118620335,"Lemon tart",,0.0000,
11964978,"Sugar Sachet Pkt",,0.0000,
12364,"Masala Loaf with cheese",,1.0000,
12365,"Cinnimon Rolls",,0.0000,
124437787,"Strawberry Vanilla Cake 1/2 Kg",,0.0000,
12588000,Null1,,0.0000,
12597,"White Bread Jumbo Slice [4 slices]",,0.0000,
12721947,"Customised Cake 900",,0.0000,
12826046,"Chocolate Cake 1kg",,0.0000,
12909599,"Assorted Mini Donuts",,4.0000,
13395291,"Cake Pop",,0.0000,
13644307,"Advance 500",,107.0000,
13687063,"Chocolate Temptation Half kg cake",,0.0000,
138165196,"Gulkand Pastry",,0.0000,
13854271,VTEMP18,,0.0000,
13925770,"Whole wheat honeyoat raisin cookies",,1.0000,
14279486,Hammer,,0.0000,
143532665,"Blueberry Cheese Cake",,2.0000,
144209563,"Vanilla chocochip Cupcakes",,0.0000,
14970895,"Box of 21 Modaks",,0.0000,
152085385,"Tutty Fruity Cookies",,1.0000,
15358173,"Ferrero Rocher Ice Cream Cake (Half Kg)",,0.0000,
15382049,"Diwali Special Box of 12 Chocolates (mini box)",,0.0000,
155484290,"Coconut  Chocolate",,0.0000,
15552206,"Cold Coffee Mix",,9.0000,
15726158,"Christmas Theme Donut Mini",,0.0000,
15973951,"Paneer Tikka S/w Whole Wheat Bread",,0.0000,
15994180,"Vanilla Milk",,0.0000,
162377418,"Pasta  penne chicken - White Sauce",,0.0000,
16481681,"Red Velvet Sponge Half kg",,0.0000,
16650306,"Fantasy Paper Bag Big",,895.0000,
168592886,"Veggie Delight burger",,0.0000,
16886579,"Cherry Cheesecake",,0.0000,
172865419,"Ketos Pound Cake",,-1.0000,
17355363,"Customized Cake Half kg 800",,0.0000,
17460849,"VANILLA CHOCOCHIP 1.KG CAKE",,1.0000,
177835269,"Garlic bread with cheese",,0.0000,
179940996,"Chocolate Goeey Pie",,0.0000,
18042259,"Handwash Bottle",,0.0000,
181144980,"Hazelnut Caramel Torte 1/2 Kg",,0.0000,
185462533,"Mango Delight  1/2 Kg [seasonal ]",,0.0000,
18966862,"mix fruit  cake 1/2 kg",,0.0000,
190792801,"Mango Macroons",,0.0000,
191583400,"Chicken Mayo SW",,0.0000,
19452542,Null1,,3.0000,
194671774,"Thandai  [seasonal] cake 1/2 Kg",,0.0000,
19502065,"Chocolate Bouquet 1400",,0.0000,
19533327,"Rose Syrup",,0.0000,
19537462,Null1,,2.0000,
19558241,"Strawberry Cheesecake half kg",,0.0000,
19621317,"Vanilla Muffin Pack of 6",,0.0000,
19752221,"Fantasy Snack Boxes",,300.0000,
199008972,"Chicken Quiche",,0.0000,
19904964,"Assorted Donuts",,6.0000,
199062700,"Blueberry Macroon",,0.0000,
199834,"Heart Shape Pinata Red velvet cake 1/2 kg",,0.0000,
199835,"Valentine's Day Special Pastry",,0.0000,
199836,"Valentines Chocolate Cupcake",,0.0000,
199837,"Heart Shape Chocolate cake 1/2 kg",,0.0000,
199838,"Valentine's Heart Shape Pinata Chocolate Small",,0.0000,
199839,"Valentine's Heart shape Cookie",,0.0000,
199840,"Valentine's Chocolate single pcs",,0.0000,
199841,"Valentines Strawberry Cupcake",,0.0000,
199842,"Valentine's Heart Shape Pinata Chocolate big",,0.0000,
199843,"Valentines Customized Cupcake",,0.0000,
199844,"Heart Shape Dutch Truffle cake 1/2 kg",,0.0000,
199845,"Heart Shape Gulkand cake 1/2 kg",,0.0000,
199846,"Valentine's Macroons",,0.0000,
199847,"Valentine's Special box of 4 Cupcakes",,0.0000,
199848,"Valentine's Popsicles",,0.0000,
199849,"Heart Shape Pinata Black Forest cake 1/2 kg",,0.0000,
199850,"Valentines Heart Shape Pinata Chocolate Cake 1/2 kg",,0.0000,
199851,"Heart Shape Strawberry cake 1/2 kg",,0.0000,
199852,"Valentine's Pinata Small Heart",,0.0000,
20140,"French Bouquet",,0.0000,
20164345,"Birthday Hat",,18.0000,
20320,"Ladi Pav",,2.0000,
20346109,"Chocolate Modak (dark) Coconut",,0.0000,
203957873,"Sugar Free Pastry (Chocolate)",,0.0000,
20545315,"Hazelnut Cheesecake",,1.0000,
20799002,"Rakhi special cake (pineapple)",,0.0000,
20882346,"Customized Cake 700",,0.0000,
211272543,"Pasta penne veg - White Sauce",,0.0000,
21296782,Null1,,0.0000,
21815966,"Rakhi Big Hamper",,0.0000,
21952805,"Caramel Crunch Cake 1kg",,0.0000,
22071875,Chocochips,,0.0000,
22202402,"Cold Coffee",,591.0000,
222578209,"Hazelnut Pie",,2.0000,
222917801,"Gulkand cake 1/2 Kg",,1.0000,
224628610,"Strawberry Chocolate 1/2 Kg [seasonal]",,0.0000,
22486178,"Diwali Special Lily Hamper",,0.0000,
22605106,"Traditional Plum Cake with Rum & egg 200gms (round)",,0.0000,
22634143,"Plum Cake without rum & eggless 350 gms (Kids)",,0.0000,
226426570,"Dutch Truffle Cake 1 Kg",,1.0000,
227683163,"Rasmalai cake 1/2 Kg",,0.0000,
228943534,"Yummy Chicken burger",,0.0000,
230546297,"Pasta penne veg - Red Sauce",,0.0000,
23427132,"Plum Cake eggless with Rum 150 gms(round)",,0.0000,
23551170,VTEMP9,,0.0000,
23777860,Gloves,,0.0000,
23869734,"Dustbin Bag 29*39",,14.0000,
241717519,"Coconut Pastry",,0.0000,
24627743,Null1,,1.0000,
24707850,Null1,,0.0000,
24787563,"Mocha Cake 1kg",,0.0000,
25138969,"Diwali Diwali Mini Hamper",,0.0000,
254696426,"Gulkand Chocolate",,0.0000,
25528276,"Plastic Bags of Fantasy",,0.0000,
25555396,Null1,,0.0000,
261062088,"Chocolate Croissant",,1.0000,
26148678,"Double Chocochip Cookies",,79.0000,
263705093,"Dryfruit Cookies",,2.0000,
26513141,"Mini Cupcake",,23.0000,
267797407,"Blueberry Danish pastry",,0.0000,
26802026,"cheese croissants",,1.0000,
26878342,"Traditional Plum Cake with rum & eggless 500 gms",,0.0000,
271215829,"Strawberry  Cheese Cake",,0.0000,
27209570,"Black Forest Ice Cream Cake (Half Kg)",,0.0000,
27332690,"Assorted Chocolate (Single)",,0.0000,
274146298,"Coconut Jam Roll with Egg",,0.0000,
275992494,"Pasta  penne chicken - Red Sauce",,0.0000,
276871122,"Raagi Cookies",,2.0000,
27765462,"Hot Cross Buns(Pack of 2)",,0.0000,
27978126,"Santa Cupcake",,0.0000,
28279645,"Chocolate Name Plates",,1305.0000,
285565091,"Florida cake 1/2 Kg",,0.0000,
28935099,"Christmas Theme Cupcakes Box of 6",,0.0000,
294011710,"Boiled egg SW",,0.0000,
295503253,"Blueberry/Strwaberry cheesecake/redvelevt half kg",,0.0000,
29674650,"Customized Cake 600",,0.0000,
29830141,"White Name Plates",,0.0000,
298348321,"Tri Colour Pastry",,0.0000,
299949738,"Chocolate Mousse Cup",,2.0000,
307460474,"Tri Colour Cupcake",,0.0000,
31030,"Almond Brownie",,0.0000,
31130088,"Blueberry Ice Cream Cake (Halg Kg)",,0.0000,
31267777,"Tiranga Cupcake",,0.0000,
31478,"Burger Buns [2 nos in one packet ]",,0.0000,
31516222,"Tiranga cake half kg",,0.0000,
31555,"Multigrain  Bread  [8 slices ]",,0.0000,
31659224,"Customized Cake 900",,0.0000,
31785400,"Chocolate Bouquet 1000",,0.0000,
31811441,"Wooden Spoons",,48.0000,
31926499,Sanitizer,,1.0000,
319344462,"Chocolate Overload Brownie",,7.0000,
31980755,"Classic Belgian Chocolate cake 1 KG",,0.0000,
3210,"Dinner Rolls [ 4 nos in one packet]",,0.0000,
32164,"Multigrain Loaf",,0.0000,
32411,"Chocochip Brownie",,0.0000,
32439961,Null1,,0.0000,
32457,"Pizza Base [2 nos  in one packet ]",,0.0000,
327911920,"Peri Peri Paneer SW",,0.0000,
32818933,"Christmas Theme Cupcake Premium",,0.0000,
33119495,Null1,,3.0000,
33214,"Cheese Straw",,0.0000,
334385744,"Masala maggie",,0.0000,
33439294,"T-Shirt M Size",,0.0000,
33442871,"Salted Caramel Chocolate Cake",,1.0000,
33691394,Null1,,0.0000,
33693436,"Plum cake with Rum with Egg 550 gms (round)",,0.0000,
33702920,"Diwali Special Box of 18 Chocolates (Premium Packaging)",,0.0000,
340158959,"Strawberry Chocolate",,0.0000,
34397968,"Bamboo Basket Bouquet Small",,0.0000,
34739077,"Double Pastry Boxes",,1221.0000,
347588638,"Whole wheat  cookies",,0.0000,
349258757,"Plain Croissant",,0.0000,
35244113,"Thandai Ice Cream Cake Half Kg",,0.0000,
35246,"White Bread",,1.0000,
35369224,"Hazelnut Pastry",,0.0000,
35454,"Nachos Packets",,1.0000,
35514745,"Plum Cake eggless with Rum 400 gms(round)",,0.0000,
35645869,"CHOCOLATE CAKE",,0.0000,
357271763,"Tiramisu cups",,0.0000,
35836666,"Delivery Charges 100",,6.0000,
358503877,"Rose Cupcake",,0.0000,
359329830,"Masala Cookies",,0.0000,
360012004,"Oreo Cheese Cake",,0.0000,
36288391,"Rainbow Cake 1kg",,0.0000,
363089450,"Fantasy Special Fudge",,0.0000,
36488850,Null1,,0.0000,
36581531,"Mojito Syrup",,0.0000,
36844351,"Christmas Tree Brownie",,0.0000,
368496741,"Caramel Crunch cake 1/2 Kg",,0.0000,
37502503,Null1,,0.0000,
375209312,"Classic Belgium Chocolate cake 1/2 Kg",,0.0000,
379805332,"Strawberry Cupcakes",,0.0000,
38562014,"Father's Day - Chocolate Half Kg Cake",,0.0000,
38729937,Null1,,0.0000,
390767843,"Vanilla Chocochip cake 1/2 Kg",,1.0000,
39135396,"Half Kg Boxes",,1204.0000,
39149804,"Bamboo Basket Big Bouquet",,2.0000,
392892442,"Pasta  penne chicken - Pink Sauce",,0.0000,
393188718,"Chocolate Orange cake 1/2 Kg",,0.0000,
39373234,"Whipping Cream",,0.0000,
397357294,"Banana caramal Toffee Pie",,0.0000,
398121861,"Cheese chilli toast",,0.0000,
39882768,Null1,,0.0000,
399043874,"Rainbow pastry",,0.0000,
399200734,"Corn quiche",,0.0000,
40036849,"Biscoff Cheesecake Half kg",,0.0000,
40160395,"Traditional Plum Cake with Rum & egg 250gms",,0.0000,
40353362,"Halloween Popsicles",,0.0000,
40436790,"Loaded nachos",,0.0000,
404743047,"Redvelvet Cupcakes",,2.0000,
40578912,VTEMP5,,0.0000,
40639346,"Coconut Cake 1Kg",,0.0000,
407122961,"Ferrero Rocher cake 1/2 Kg",,1.0000,
409458620,"Chocochip Tea Cake",,1.0000,
418403077,"Sherwsburry cookies",,1.0000,
42356692,"Diwali Special Box of 12 Chocolates",,0.0000,
423839105,"Rainbow cake 1/2 Kg",,1.0000,
42585228,"Dark Chocolate Truffle Half Kg",,0.0000,
427276241,"Caramel Chocochip",,0.0000,
42874699,"Coffee Beans",,0.0000,
43018493,"Traditional Plum Cake with Rum & egg 350gms",,0.0000,
431977654,"Egg Puffs",,0.0000,
43608102,"Star Shape Plum Cake with Rum & egg 200gms",,0.0000,
43642123,Null1,,0.0000,
440051559,"Vanilla Muffins",,2.0000,
440897873,"Granola Bars",,0.0000,
441156985,Truffles,,0.0000,
443973072,"Kiwi cake 1/2 Kg",,0.0000,
446356180,"Sugar Free Chocolate Cake 1/2 Kg",,0.0000,
44760000,"T-Shirt L Size",,0.0000,
45408704,Null1,,1.0000,
45463177,"Biscoff Cheesecake",,2.0000,
45712412,"New Year Special Cake half kg",,0.0000,
45976,"Panini Bread [2 nos in a packet ]",,0.0000,
459842000,"Creamy Chicken panini sandwich",,0.0000,
46071908,Null1,,4.0000,
462152151,"Dutch Truffle Pastry",,5.0000,
463415699,"Roasted Almond Chocolate cake 1/2 Kg",,0.0000,
463654831,"Strawberry Mousse Cup",,0.0000,
46504710,"Banana Tea Cake (with Egg)",,0.0000,
47359408,"Glass Bouquet Small",,0.0000,
476987960,"Rakhi Special Cupcake",,0.0000,
478388662,"Pineapple pastry",,0.0000,
48491357,"Teddy Bear Bouquet Big",,1.0000,
48626333,VTEMP14,,0.0000,
48657495,"Children's Day Cupcake",,0.0000,
486717694,"Banana Chocolate Walnut Teacake",,0.0000,
48701095,"Anniversary tags",,103.0000,
488156638,"Mocha cake 1/2 Kg",,1.0000,
49010688,"Mango Pulp",,0.0000,
49176408,"Half Kg Cheese cake",,0.0000,
49457700,VTEMP10,,0.0000,
495919404,"Choco Cherry cake 1/2 Kg [black forest]",,0.0000,
49730364,"Customised Cake",,0.0000,
498889066,"Gulkand Cheese Cake",,0.0000,
499457363,"Orange Chocolate",,0.0000,
49981240,"Cane Bouquet Small",,0.0000,
49997027,Null1,,0.0000,
50007979,"Oreo Ice Cream Cake Half Kg",,1.0000,
501221048,"Mango Cupcakes",,0.0000,
50437743,"White Ganashe",,56.0000,
50438965,"Customized Cake 800",,0.0000,
508020438,"Blueberry cake 1/2 Kg",,1.0000,
508969046,"Tomato Salsa",,0.0000,
50919097,"Nutella Hazelnut Donut",,0.0000,
511111350,"Maggie with cheese",,0.0000,
512594426,"Chocolate Cake 1/2 Kg",,0.0000,
51429544,"Chocolate Ganache",,11.0000,
51497480,"Christmas Donut with Cream (single)",,0.0000,
515740217,"Chocolate  Macroons",,2.0000,
52089024,"Bombay Masala Puff",,5.0000,
52090482,"Garbage bag 29*39",,9.0000,
52117633,Jhadu,,1.0000,
52125927,"Diwali Special Lotus Hamper",,0.0000,
52153950,"Customised Cake",,0.0000,
52202616,"Birthday Banner",,3.0000,
52589597,"Delivery Charge 75Rs",,0.0000,
53126710,"Christmas Theme Chocolate (Big)",,0.0000,
53405612,Null1,,0.0000,
53472528,"Halloween Choc. Half kg cake",,0.0000,
53840031,VTEMP21,,0.0000,
53913830,"Tiramisu Ice Cream Cake (Half Kg)",,0.0000,
54084205,"Pineapple cake 1Kg",,0.0000,
54625422,Mop,,1.0000,
54800840,"Vanilla Choc Strawberry Half kg cake",,0.0000,
54894619,"Birthday Tags",,36.0000,
548995017,"Chicken Masala  Roll",,1.0000,
54935023,"Mother's day special Blueberry cake with Orchids and Topper (Half KG)",,0.0000,
552962791,"Walnut Brownie with egg",,0.0000,
555344521,"Vanilla Teacake",,1.0000,
56151116,"Business Visiting Cards",,700.0000,
56201853,"UP TEST 2",,0.0000,
563273768,"Mint [After Ate] 1/2 Kg",,0.0000,
56393398,"Cinnamon Donut",,0.0000,
56539444,"chocochunk cheese cake 1/2 kg",,0.0000,
56605969,"Pinata Cake Half kg",,0.0000,
57127807,"Mango Pastry",,0.0000,
573714336,"Rasmalai Pastry",,0.0000,
574385569,"Salted Caramel Cheese Cake",,1.0000,
576950343,"Jam cookie",,-1.0000,
577199494,"Cheese SW",,0.0000,
57953041,"cinnman croissants",,0.0000,
58107706,"Coffee Glasses",,0.0000,
582228722,"Rasmalai Cupcakes",,0.0000,
58342458,"Plastic Carry Bags Small",,0.0000,
58370679,"Rose Pistachio half kg cake",,0.0000,
58468711,Null1,,2.0000,
58574506,"Garbage Bags 19*21",,5.0000,
58673236,Null1,,0.0000,
58919963,"Chocolate walnut 1kg cake",,0.0000,
58962270,Null1,,0.0000,
589698693,"Chocolate Mousse cake 1/2 Kg",,0.0000,
59158719,"Biscoff cake Half Kg",,0.0000,
593560841,"Chocochunk Cheese Cake",,2.0000,
594915335,"Tandai mousse cup",,0.0000,
59646371,"Blueberry tea cake",,1.0000,
59663307,"Customized Cake",,0.0000,
598993613,Chocoballs,,20.0000,
60091417,"Numeroc Candles",,37.0000,
603075187,"Apple Pie",,2.0000,
609004787,"Garlic bread",,0.0000,
60998350,"Chocolate Bouquet 500",,2.0000,
610688417,"Coconut cake 1/2 Kg",,0.0000,
61119551,"Pinata Cake 1/2kg",,1.0000,
61413729,"Mug Bouquet Small",,0.0000,
61510255,"Mother's day special Pineapple cake (Half KG)",,0.0000,
61599346,"Blueberry Cheese cake half kg",,0.0000,
61761692,"Death by Chocolate 1kg Cake",,0.0000,
61852449,"Ketchup Pouches",,16.0000,
61855116,"Customized cake 200",,1.0000,
62117453,"Dark Chocolate Cake 1kg",,0.0000,
622254068,"Caramel  Cupcake",,0.0000,
624939169,"Chocolate Coffee Almond Teacake",,1.0000,
62542050,"Cupcakes cc",,0.0000,
62976421,"Plain Brownie",,0.0000,
62980498,"Kasata Ice Cream Cake Half kg",,0.0000,
63254,"Whole Wheat Bread Jumbo slice [4 slices]",,0.0000,
63548327,"Plum Cake eggless without Rum 250 gms (loaf)",,0.0000,
635512227,"Gulkand Cake 1 kg",,0.0000,
63574,"Whole Wheat Pizza Base [ 2 nos in one packet]",,0.0000,
63684472,"Mango Ice Cream Cake Half kg",,0.0000,
63715473,"Hazelnut Cheesecake Half kg",,0.0000,
638425324,"Apricot cake 1/2 Kg",,0.0000,
64278550,"Customized Cake 400",,0.0000,
64311054,"Aam Panna syrup",,0.0000,
64471642,"Motichur Gulabjamun cake 1/2 kg",,0.0000,
64546739,Null1,,3.0000,
64565,"Whole Wheat  Bread",,1.0000,
64632,"Masala Loaf",,0.0000,
64669,"Masala Kulcha  [2 nos in a packet ]",,1.0000,
64711829,"Red Velvet Cheesecake Half kg",,0.0000,
650013954,"Mocha Cupcakes",,0.0000,
65223208,"Plum Cake 450 gms with Rum & egg",,0.0000,
654785,Foccassia,,0.0000,
65485,"Garlic Loaf",,0.0000,
65740047,"Birthday Balloons",,33.0000,
65791342,"Khobra Cake",,0.0000,
65998361,"Tiramisu Cake 1kg",,0.0000,
66095819,"Water Glasses",,254.0000,
66138240,"Tri colour mousse",,0.0000,
66152212,Null1,,0.0000,
663372841,"Panini paneer tikka sandwich",,0.0000,
66350818,Colin,,1.0000,
66366452,"Christmas Theme Cupcake",,0.0000,
664507138,"Tiramisu Pastry",,0.0000,
66499288,"Red velvet cake half kg (Heart Shape)",,0.0000,
66577019,"Mother's Day Special Chocolate Pastry with Topper",,0.0000,
66765700,"Delivery Chrage",,13.0000,
670999670,"Chicken Tikka SW",,0.0000,
672548071,"Orange Teacake",,1.0000,
676013044,"Mini Macroons",,0.0000,
67693063,Duster,,1.0000,
690847063,Coffee,,0.0000,
692335847,"Rasmalai Cake 1kg",,0.0000,
694658587,"Strawberry Tart",,0.0000,
69604294,VTEMP8,,0.0000,
70797643,"Sugar Free Chocolate Mousse Cup",,3.0000,
70928890,"Chocolava Cake",,6.0000,
