"Product Code","Product Name",Variant,Expected,Counted
02635390,AMOL_TEST_PRODUCT_2,fgdfggdf,-6.0000,
02635390,AMOL_TEST_PRODUCT_2,a,11.0000,
02635390,AMOL_TEST_PRODUCT_2,B,24.0000,
02635390,AMOL_TEST_PRODUCT_2,,-1.0000,
06917741,"desi biscuits",,-11.0000,
07467636,Chips,,-3793.0000,
07759020,sdf,,7.0000,
07789442,"scentido test12",,-13.0000,
08361692,"vanilla cream11",,92.0000,
104726457,"Loreal BB Creame",,-6.0000,
11170321,jhjhjh,,7.0000,
11342193,testing23,,0.0000,
11547277,"Alphabet Little ABC",,0.0000,
11653693,testapc,,48.0000,
116621565,"Product 12 ram",,1.0000,
119795615,"Test 11",,0.0000,
122114084,"Aquapolo Lunch Box",NOTE,-7.0000,
122114084,"Aquapolo Lunch Box",SPICY,-82.0000,
122114084,"Aquapolo Lunch Box",MILD,-7.0000,
122114084,"Aquapolo Lunch Box",MEDIUM,-13.0000,
12275086,transfer28,,0.0000,
12328565,AMOL_TEST_PRO_1,,-2.0000,
123456,"Product 11",102.25,-1.0000,
124107763,Testing4,,-1.0000,
12783751,TestProduct,,0.0000,
13093743,Nuts,"test variant",-7.0000,
132485704,"Loreal Paris fall Resist",,-1.0000,
13274311,simplys,,-8.0000,
13431337,abcd,,500.0000,
13528936,offline1235,,-26.0000,
135538096,"Matrix Biolage",,-30.0000,
13599706,"Mineral water",,-1.0000,
14099202,Suger,"test variant",-5.0000,
14099202,Suger,abc,-7.0000,
14099202,Suger,"32 inch",-1.0000,
14241871,bvcx,,46.0000,
14265107,"Rajatt Test",,10.0000,
14635498,Casata,,-1.0000,
14678707,monaco,,81.0000,
15889389,yyy2,,-1.0000,
15901737,"sales gst",,98.0000,
16576124,testproduct2,,-1.0000,
16887398,2test,,92.0000,
17114412,"Olive Oil",,450085.0000,
17623248,OST,,0.0000,
176897466,"Loreal Age perfect",,-26.0000,
17895054,devpos,,-9.0000,
179021473,"black forest",,8.0000,
181629914,"Glass Lunch Box",,-11.0000,
18167472,"garlic bread",,0.0000,
19024475,testaabbcc,,0.0000,
190342305,simplysafedairy,106.25,1.0000,
190583468,"Product ram 28",blue,0.0000,
19211960,dairymilk,chocolate,9.0000,
19211960,dairymilk,dairy,9.0000,
19708950,gps,,27.0000,
198364347,"Product ram 25",green,0.0000,
19891344,chaiiii1,,93.9600,
19971318,dcb,,14.0000,
216113067,pencil,,-1.0000,
216480266,Lips,,99.0000,
24334401,"britannia 50-50",,25.0000,
250176637,"Compact Small Lunch Box",medium,-17.0000,
250176637,"Compact Small Lunch Box",mild,-18.0000,
25381710,aaa124,,-47.0000,
25665982,"Test File123",,-12.0000,
25727176,oil,,-0.2500,
25826630,cake,,-1.0000,
26329168,pepsi,,0.0000,
263487743,"lemon jucie",,-2.0000,
26897043,dairy,,29.0000,
27626583,Abhayarishtam,20ml,-3.0000,
27626583,Abhayarishtam,450ml,5.0000,
27714899,xxxz,,1.0000,
27756942,"Figora Olive Oil",,4.0000,
28124288,"test product",,-4.0000,
28185820,waffers,pinkwafers,10.0000,
28185820,waffers,yellowwafers,10.0000,
28403364,"golden (200)",,446.0000,
28787523,ball,,44.0000,
28853292,"Test GST Product",5kg,-11.0000,
28853292,"Test GST Product",10kg,19.0000,
28853292,"Test GST Product",12kg,12.0000,
28853292,"Test GST Product",20kg,19.0000,
29108889,"Product ram 31",,12.0000,
29465509,"medimix soap (buy 1 get1)",,-1.0000,
295602770,"Loreal skin Perfect creme",,-19.0000,
297743614,"Executive Lunch Box with Bag",,-29.0000,
30159302,tranfercsv,,55.0000,
305611819,Testing2,,-1.0000,
310109281,"Wella Professional",,-15.0000,
32614481,abcd,,-12.0000,
326291451,"Himalaya Anti Hair fall",,-119.0000,
32761610,category55,,-1.0000,
32806903,ABC,,-1.0000,
33175757,"Fruit Punch",,-1.0000,
33287725,"fererro rocher",,10.0000,
341739618,"Khadi Professinal",,-56.0000,
34430084,"special box",,-3668.5000,
34816912,123a,,0.0000,
34841181,abc43431,,90.0000,
349083330,"Product ram 21",green,0.0000,
35117648,Kitkat,,58.0000,
351212390,"Niviea Cr",,27.0000,
352496542,"Small Plastic Container",,-55.0000,
