"Product Code","Product Name",Variant,Expected,Counted
02635390,AMOL_TEST_PRODUCT_2,,0.0000,
05282334,"butterscotch cakes",,0.0000,
07467636,Chips,,0.0000,
10555990,"product rajat",,0.0000,
11170321,jhjhjh,,0.0000,
13093743,Nuts,,-8.0000,
14099202,Suger,,0.0000,
20234686,"Lemon juice","lemon juice A",0.0000,
20234686,"Lemon juice","lemon juice B",0.0000,
24334401,"britannia 50-50",,0.0000,
28403364,"golden (200)",,0.0000,
28787523,ball,,0.0000,
40712179,waterbottel,,0.0000,
42388606,bat,,0.0000,
44394265,iPhone,,0.0000,
47436261,Motorola,"Moto E4",0.0000,
47436261,Motorola,"Moto G5",0.0000,
47436261,Motorola,"Moto X6",0.0000,
51983247,tandur,,0.0000,
52669527,restaurants,,0.0000,
55480101,"product vipin",,0.0000,
56691905,inoutcheck,,0.0000,
61272290,"Spicy maggie",,0.0000,
69787802,women,,0.0000,
71142110,"teddy bear",,0.0000,
72988438,test1123,,0.0000,
76BBBB76,Testappy,,0.0000,
77042435,chetan123,,0.0000,
79447537,"teddy bear",,0.0000,
82089294,"tender coconut bulk",,0.0000,
85086124,Bread,,0.0000,
94032496,"transfer test product",,0.0000,
tea100,tea-100,,0.0000,
