"Product Code","Product Name",Variant,Expected,Counted
102383107,"Pineapple Shiffon  cake 1/2 Kg",,64.0000,
10287,"Walnut Brownie",,68.0000,
103177681,"Veg SW",,70.0000,
104558697,"Mocha Pastry",,70.0000,
106180980,Donuts,,36.0000,
106365661,"Chocochip Cookies",,68.0000,
115755333,"Veg burgers",,70.0000,
118620335,"Lemon tart",,70.0000,
12364,"Masala Loaf with cheese",,70.0000,
12365,"Cinnimon Rolls",,70.0000,
124437787,"Strawberry Vanilla Cake 1/2 Kg",,70.0000,
12597,"White Bread Jymbo Slice [4 slices]",,70.0000,
134700223,"Plum Cake  with egg (450gm)",,70.0000,
138165196,"Gulkand Pastry",,70.0000,
143532665,"Blueberry Cheese Cake",,62.0000,
144209563,"Vanilla chocochip Cupcakes",,70.0000,
152085385,"Tutty Fruity Cookies",,70.0000,
155484290,"Coconut  Chocolate",,70.0000,
172865419,"Ketos Pound Cake",,70.0000,
175450702,"Plum Cake  with egg",,70.0000,
179940996,"Chocolate Goeey Pie",,70.0000,
181144980,"Hazelnut Caramel Torte 1/2 Kg",,70.0000,
185462533,"Mango Delight  1/2 Kg [seasonal ]",,69.0000,
190792801,"Mango Macroons",,65.0000,
191583400,"Chicken Mayo SW",,70.0000,
194671774,"Thandai  [seasonal] cake 1/2 Kg",,70.0000,
199008972,"Chicken Quiche",,70.0000,
199062700,"Blueberry Macroon",,66.0000,
20140,"French Bouquet",,70.0000,
20320,"Ladi Pav",,67.0000,
203957873,"Sugar Free Pastry (Chocolate)",,70.0000,
222578209,"Hazelnut Pie",,70.0000,
222917801,"Gulkand cake 1/2 Kg",,68.0000,
224628610,"Strawberry Chocolate 1/2 Kg [seasonal]",,70.0000,
226426570,"Dutch Truffle Cake 1 Kg",,70.0000,
227683163,"Rasmalai cake 1/2 Kg",,70.0000,
241717519,"Coconut Pastry",,70.0000,
254696426,"Gulkand Chocolate",,70.0000,
261062088,"Chocolate Croissant",,70.0000,
263705093,"Dryfruit Cookies",,70.0000,
267797407,"Blueberry Danish pastry",,70.0000,
271215829,"Strawberry  Cheese Cake",,69.0000,
274146298,"Coconut Jam Roll with Egg",,66.0000,
276871122,"Raagi Cookies",,68.0000,
285565091,"Florida cake 1/2 Kg",,70.0000,
294011710,"Boiled egg SW",,70.0000,
295503253,"Blueberry/Strwaberry cheesecake/redvelevt half kg",,70.0000,
298348321,"Tri Colour Pastry",,70.0000,
299949738,"Chocolate Mousse",,70.0000,
307460474,"Tri Colour Cupcake",,70.0000,
31030,"Almond Brownie",,70.0000,
31478,"Burger Buns [2 nos in one packet ]",,67.0000,
31555,"Multigrain  Bread  [8 slices ]",,67.0000,
319344462,"Chocolate Overload Brownie",,68.0000,
3210,"Dinner Rolls [ 4 nos in one packet]",,70.0000,
32164,"Multigrain Loaf",,70.0000,
32411,"Chocochip Brownie",,66.0000,
32457,"Pizza Base [2 nos  in one packet ]",,66.0000,
327911920,"Peri Peri Paneer SW",,70.0000,
33214,"Cheese Straw",,70.0000,
340158959,"Strawberry Chocolate",,70.0000,
347588638,"Whole wheat  cookies",,70.0000,
349258757,"Plain Croissant",,70.0000,
35246,"White Bread",,59.0000,
35454,"Nachos Packets",,66.0000,
357271763,"Tiramisu cups",,70.0000,
358503877,"Rose Cupcake",,70.0000,
359329830,"Masala Cookies",,70.0000,
360012004,"Oreo Cheese Cake",,65.0000,
363089450,"Fantasy Special Fudge",,70.0000,
368496741,"Caramel Crunch cake 1/2 Kg",,63.0000,
375209312,"Classic Belgium Chocolate cake 1/2 Kg",,70.0000,
379805332,"Strawberry Cupcakes",,70.0000,
390767843,"Vanilla Chocochip cake 1/2 Kg",,70.0000,
393188718,"Chocolate Orange cake 1/2 Kg",,70.0000,
397357294,"Banana caramal Toffee Pie",,70.0000,
399043874,"Rainbow pastry",,70.0000,
399200734,"Corn quiche",,70.0000,
400079220,Mandiants,,70.0000,
404743047,"Redvelvet Cupcakes",,70.0000,
407122961,"Ferrero Rocher cake 1/2 Kg",,70.0000,
409458620,"Chocochip Tea Cake",,61.0000,
418403077,"Sherwsburry cookies",,70.0000,
423839105,"Rainbow cake 1/2 Kg",,69.0000,
427276241,"Caramel Chocochip",,70.0000,
431977654,"Egg Puffs",,70.0000,
440051559,"Vanilla Muffins",,70.0000,
440897873,"Granola Bars",,70.0000,
441156985,Truffles,,70.0000,
443973072,"Kiwi cake 1/2 Kg",,70.0000,
446356180,"Sugar Free Chocolate Cake 1/2 Kg",,70.0000,
45976,"Panini Bread [2 nos in a packet ]",,70.0000,
462152151,"DT Pastry",,32.0000,
463415699,"Roasted Almond Chocolate cake 1/2 Kg",,70.0000,
463654831,"Strawberry Mousse Cup",,70.0000,
476987960,"Rakhi Special Cupcake",,70.0000,
478388662,"Pineapple pastry",,58.0000,
482694832,"Diwali Speacial Cupcake",,70.0000,
486717694,"Banana Chocolate Walnut Teacake",,69.0000,
488156638,"Mocha cake 1/2 Kg",,65.0000,
495919404,"Choco Cherry cake 1/2 Kg [black forest]",,70.0000,
498889066,"Gulkand Cheese Cake",,70.0000,
499457363,"Orange Chocolate",,70.0000,
501221048,"Mango Cupcakes",,70.0000,
508020438,"Blueberry cake 1/2 Kg",,68.0000,
508969046,"Tomato Salsa",,70.0000,
512594426,"Chocolate Cake 1/2 Kg",,68.0000,
515740217,"Chocolate  Macroons",,51.0000,
54372941,test,,2.0000,
548995017,"Chicken Masala  Roll",,70.0000,
550484339,"Chocolate Strawberry Vanilla cake 1/2 Kg",,70.0000,
552962791,"Walnut Brownie with egg",,70.0000,
555344521,"Vanilla Teacake",,68.0000,
563273768,"Mint [After Ate] 1/2 Kg",,70.0000,
573714336,"Rasmalai Pastry",,70.0000,
574385569,"Salted Caramel Cheese Cake",,70.0000,
576950343,"Jam cookie",,70.0000,
577199494,"Cheese SW",,70.0000,
582228722,"Rasmalai Cupcakes",,70.0000,
