"Product Code","Product Name",Variant,Expected,Counted
02635390,AMOL_TEST_PRODUCT_2,fgdfggdf,-6.0000,
02635390,AMOL_TEST_PRODUCT_2,a,11.0000,
02635390,AMOL_TEST_PRODUCT_2,B,24.0000,
02635390,AMOL_TEST_PRODUCT_2,,-1.0000,
07467636,Chips,,-3793.0000,
07759020,sdf,,7.0000,
07789442,"scentido test12",,-13.0000,
08361692,"vanilla cream11",,92.0000,
11170321,jhjhjh,,7.0000,
116621565,"Product 12 ram",,1.0000,
119795615,"Test 11",,0.0000,
12328565,AMOL_TEST_PRO_1,,-2.0000,
123456,"Product 11",102.25,-1.0000,
13274311,simplys,,-8.0000,
13431337,abcd,,500.0000,
13599706,"Mineral water",,-1.0000,
14099202,Suger,"test variant",-5.0000,
14099202,Suger,abc,-7.0000,
14099202,Suger,"32 inch",-1.0000,
14241871,bvcx,,46.0000,
14265107,"Rajatt Test",,10.0000,
14678707,monaco,,81.0000,
15889389,yyy2,,-1.0000,
16887398,2test,,92.0000,
17114412,"Olive Oil",,450085.0000,
17895054,devpos,,-9.0000,
18167472,"garlic bread",,0.0000,
190342305,simplysafedairy,106.25,1.0000,
190583468,"Product ram 28",blue,0.0000,
19211960,dairymilk,chocolate,9.0000,
19211960,dairymilk,dairy,9.0000,
19708950,gps,,27.0000,
198364347,"Product ram 25",green,0.0000,
19971318,dcb,,14.0000,
216113067,pencil,,-1.0000,
25381710,aaa124,,-47.0000,
25727176,oil,,-0.2500,
25826630,cake,,-1.0000,
263487743,"lemon jucie",,-2.0000,
26897043,dairy,,29.0000,
27714899,xxxz,,1.0000,
27756942,"Figora Olive Oil",,4.0000,
28124288,"test product",,-4.0000,
29108889,"Product ram 31",,12.0000,
32614481,abcd,,-12.0000,
32806903,ABC,,-1.0000,
33287725,"fererro rocher",,10.0000,
34841181,abc43431,,90.0000,
349083330,"Product ram 21",green,0.0000,
35117648,Kitkat,,58.0000,
362572644,paynearone,102.25,170.0000,
372574524,"Product 11 ram",,1.0000,
37844681,"Patanjali Ghee",,-35.0000,
38066407,sujay123,,100.0000,
38296466,cd,,-13.0000,
393204218,Test14,,30.0000,
406735552,"Product ram 18",102.25,-3.0000,
40712179,waterbottel,,-1.0000,
40845777,jkl,,5.0000,
411797789,"simply 1",,8.0000,
41683525,appleabc,,9.0000,
41874530,marigold12,,100.0000,
42705807,12,,-2.0000,
43647020,sunil11,,97.0000,
450973374,"Product bread(tilak)",102.25,-1.0000,
45717121,transfer333,,220.0000,
49868056,"variant test","32 inch",0.0000,
49868056,"variant test","red color",0.0000,
49868056,"variant test","pink color",0.0000,
49945448,ccd12,,51.0000,
522930017,rongta58mm,104.25,-6.0000,
526082652,"Product ram 13",,1.0000,
526372033,check4,,-121.0000,
52907911,ij,,405.0000,
53153183,table,,0.0000,
53641441,samsung,,-2.0000,
55201629,ccd,,3.0000,
55406439,sdsdsds,,10.0000,
556622192,"simply 2",,-1.0000,
558373512,"Product ram 26",red,0.0000,
558735825,"Mineral water",,10.0000,
56514303,simplyp,,-5.0000,
583735436,"rice daal",spicy,10.0000,
583735436,"rice daal","mild medium",10.0000,
583735436,"rice daal","extra spicy",10.0000,
583735436,"rice daal",jain,10.0000,
583735436,"rice daal",vegan,10.0000,
584975439,rongta80mm3,103.25,-1.0000,
58743074,todaysales112,,-51.0000,
595052332,Test13,,-1.0000,
60576824,waterbottel1,,0.0000,
615885265,"Product 11",102.25,-1.0000,
62574449,ccd11,,30.0000,
62769374,simplygps,,0.0000,
64624658,"chai patti",,17.0000,
64996928,"Promo prd 1",,-5.0000,
654612902,AAA,,-3.0000,
65702904,fghh,,0.0000,
657605489,pencil,,30.0000,
66918119,laptop,,-14.0000,
66923296,123,,2.0000,
687255591,"Product 11",102.25,10.0000,
706760007,rongtaA45,105.25,4.0000,
70816447,NNN,,0.0000,
71973571,"hair spa",,10.0000,
73631612,"orange juice",,19.0000,
748040851,"Product 113",102.25,-2.0000,
750247172,mpos,102.25,-35.0000,
75469430,simplyps,,-8.0000,
767234771,rongta80mm,103.25,-2.0000,
771134465,check1,,385.0000,
798449065,check3,,-115.0000,
806373249,check2,,-111.0000,
828377434,gps,,-1.0000,
832814648,"briyani daal","spicy,mild medium,extra spicy,jain,vegan",-1.0000,
84505096,biscuit,,-259.0000,
847148019,"Product 11",102.25,-6.0000,
849672494,"Mango juice",,-1.0000,
85281376,cone11,,92.0000,
86278281,"Moisturiser gucci",,53.0000,
865306159,prtest290,102.25,-9.0000,
86814052,abc34341,,3.0000,
87419212,1111,,48.0000,
88001440,"rabdi icecream per kg",,99.0400,
88070357,yyy,,-1.0000,
89273980,simplysp,,-9.0000,
91254775,panasoni,,-1.0000,
91718386,"Mixture namkeen",,110.0000,
941712861,mpos2,102.25,-24.0000,
95569588,fd,,-7.0000,
95608936,sunsilk,,9.0000,
963811287,pen,,-1.0000,
96497444,"bakery cafe",,-54.0000,
976172672,"Product ram 22",red,0.0000,
99168551,chocolate,,-202.0000,
99772920,combo112,,68.0000,
GR198,paynearone1,102.25,-148.0000,
GR1988,simplysafedairy6,106.25,11.0000,
PR-118989,"Product 1909090",,-7.0000,
PR-898,"Product 11",,-27.0000,
PR-911,"Product 11",,-16.0000,
pr12345,rongta58mm4,104.25,-3.0000,
