"Product Code","Product Name",Variant,Expected,Counted
007,"Shirt Man 007",,-8.0000,
04244714,ATV,,9.0000,
10107218,noodles,hakka,39.0000,
10832030,"Como Sub-Product1",,0.6667,
11330406,"Karting/QTR Midgets",,10.0000,
11370809,"Handloom Bags",,15.0000,
12011816,Rally,,7.0000,
14758527,"Testing Transfer 1",,13.0000,
15065832,"women kurtis",,15.0000,
17236773,"TRANSFER TEST2",,2.0000,
19958924,spectacles,roundedglass,10.0000,
19958924,spectacles,squareshape,20.0000,
22423609,"Dirt Oval",,10.0000,
23559960,"corn flour",,11.0000,
25190360,"Handloom Saree",PINK,11.0000,
25190360,"Handloom Saree",RED,12.0000,
25190360,"Handloom Saree",GREEN,12.0000,
25190360,"Handloom Saree",BLUE,10.0000,
33361085,"test producct 1999",abc,10.0000,
33361085,"test producct 1999",bcd,10.0000,
34823240,"Testing Transfer 3",,7.0000,
36247907,"message test",,0.0000,
36348301,"Handloom Duppatta",,20.0000,
36515498,"TRANSFER TEST1",TEST1,2.0000,
36515498,"TRANSFER TEST1",TEST2,0.0000,
36602980,"exclusive tax product",,3.0000,
38122275,NewTrasfer,"small12 - Red",2.0000,
38122275,NewTrasfer,"L - Red",12.0000,
38122275,NewTrasfer,"XXL - Red",12.0000,
39759127,"Drag Racing",,0.0000,
43143712,purse123,,0.0000,
44781183,"Testing Transfer 2",,12.0000,
46741406,jeans,S,7.0000,
46741406,jeans,L,0.0000,
46741406,jeans,XL,1.0000,
46741406,jeans,XXL,0.0000,
46971901,"Asphalt Oval Tyre",,9.0000,
47031846,"Testing Transfer",M,14.0000,
47031846,"Testing Transfer",S,0.0000,
47031846,"Testing Transfer",L,5.0000,
47564350,"Transfer Product",Noodles,2.0000,
47847881,"Circuit Racing",,9.0000,
49418876,"vivo mobile",touchcell,49.0000,
49418876,"vivo mobile",quertycell,42.0000,
52718289,"myfirst product",,2.0000,
56068468,"TRANSFER TEST3",,2.0000,
57245434,Laptop,Lenovo,6.0000,
57245434,Laptop,Dell,3.0000,
57245434,Laptop,Hp,5.0000,
57245434,Laptop,Asus,5.0000,
57245434,Laptop,Apple,5.0000,
57276750,"Black Shirt",,1.0000,
59971273,sweater,,13.0000,
60421531,Footwear,2,1.0000,
69754925,"men footwear",Small,290.0000,
69754925,"men footwear",Large,249.0000,
69754925,"men footwear",XL,189.0000,
69754925,"men footwear",XXL,121.0000,
69903891,"data cable",,200.0000,
70698126,"Testing Product",,0.0000,
74960017,"white board",,108.0000,
75491613,"Pro Street",,10.0000,
77494963,"Handloom Shawl",,22.0000,
78608544,"Handloom Lungi",PLAIN,10.0000,
78608544,"Handloom Lungi",CHECKED,10.0000,
78608544,"Handloom Lungi",WHITE,10.0000,
80171667,amstead,32,5.3367,
81712179,"Moto Cross",,10.0000,
81910270,"ladies purse",Noodles,2.0000,
82103215,"mohan shende",sneakers,100.0000,
82103215,"mohan shende",sports,120.0000,
82189446,"cold coffee",hfhdbudhfu,8.0000,
82189446,"cold coffee",mmmmmmmm,9.0000,
82892400,"Blue Jeans",,0.0000,
83297108,"wheat flour",,133.0000,
88451769,Harddisk,Syska,8.0000,
88451769,Harddisk,Mi,8.0000,
89751780,"Handloom Fabric",,20.0000,
90055164,"Combo Sub-product2",,-0.3333,
911,"Over Selling TEST",,85.0000,
96104953,"Pav Bhaji",,104.0000,
963,Variant,32,5.0000,
963,Variant,new,1.0000,
98979138,"oppo mobile",multimedia,42.0000,
98979138,"oppo mobile","touch cell",50.0000,
99263565,"pineapple juice","less sugar",56.0000,
inc,"inclusive  taxProduct",,6.0000,
