Product Code,Product Name,Variant,Expected,Counted
7,Quantity Tet,,0,
614465,Nailpaint,,780001027,
1207174,Manchurian Noodles,Non-veg,135,
1207174,Manchurian Noodles,Veg,0,
1532449,chilli flakes,,-1,
2462466,Rice brian oil,,-2,
2635390,AMOL_TEST_PRODUCT_2,fgdfggdf,0,
2635390,AMOL_TEST_PRODUCT_2,a,-2,
2635390,AMOL_TEST_PRODUCT_2,B,0,
2635390,AMOL_TEST_PRODUCT_2,,0,
2806787,Khasta Kachori,,-4,
2997963,Entry Ticket,,10,
5098173,Lipstik,red,7192,
5098173,Lipstik,purple,-1,
5098173,Lipstik,orange,0,
5282334,butterscotch cakes,,29,
6128854,amla shikakai,amla,16,
6128854,amla shikakai,shikakai,0,
6339785,Bisleri Bottle,,498,
6625447,Plain maggie,,111,
6917741,desi biscuits,,30,
7411405,neluumm,neeluss,0,
7467636,Chips,,30,
7759020,sdf,,7,
7789442,scentido test12,,0,
8361692,vanilla cream11,,92,
8365415,Chinese Bhel,,52,
8825265,Idli Sambar,,-28,
9816038,Palak Pakora,,0,
100742575,Test Restaturant 1  08-07-2019,102.25,10,
10127738,neelutest,,10,
102345,apple,20,-1,
104726457,Loreal BB Creame,,-2,
10555990,product rajat,,-2,
11023816,Chicken Soup,,0,
11155162,Chole Bhature,,-9.7333,
11159077,Paywiff,,-5,
11170321,jhjhjh,,7,
11342193,testing23,,-10,
11547277,Alphabet Little ABC,,-1,
11653693,testapc,,48,
116621565,Product 12 ram,,1,
119795615,Test 11,,0,
12089185,Pav Bhaji,,0,
12129799,panda,,-5,
122114084,Aquapolo Lunch Box,NOTE,-7,
122114084,Aquapolo Lunch Box,SPICY,-18,
122114084,Aquapolo Lunch Box,MILD,-8,
122114084,Aquapolo Lunch Box,MEDIUM,-14,
12275086,transfer28,,0,
12328565,AMOL_TEST_PRO_1,,-3,
123456,Product 11,102.25,-1,
12345678945,Android Product,,4,
123654,ahmed sir,half,10,
123654,ahmed sir,Full,-1,
124107763,Testing4,,-1,
12783751,TestProduct,,100,
13093743,Nuts,test variant,-9,
13093743,Nuts,abc,-1,
13166237,T-Shirt,,0,
132485704,Loreal Paris fall Resist,,-1,
13274311,simplys,,-8,
13431337,abcd,,-1,
134377571,Test Restaturant 1  08-07-2019,102.25,10,
13528936,offline1235,,-26,
135538096,Matrix Biolage,,-30,
13599706,Mineral water,,-1,
14040497,sugar beg 5kg,,0,
14099202,Suger,test variant,-5,
14099202,Suger,abc,-7,
14099202,Suger,32 inch,-1,
14241871,bvcx,,52,
14265107,Rajatt Test,,10,
14357606,Paneer Chilly Dosa,,-5,
14635498,Casata,,-1,
14678707,monaco,,81,
151945048,Product 178812,102.25,10,
15445245,Zunaka Bhakary,,9,
15521408,Rajma,,10,
15838472,Paneer Tikka,,-6,
15889389,yyy2,,-1,
15901737,sales gst,,98,
15919741,Moong daal Kachori,,-9,
16576124,testproduct2,,-1,
167707374,Test Restaturant 2  08-07-2019,102.25,10,
16846877,qqqq test1,,99,
16887398,2test,,-1,
16912665,BAG,office bag,46,
16912665,BAG,school bag,50,
17101304,Mysore Butter Masala Dosa,,-6,
17114412,Olive Oil,,449705,
17623248,OST,,-1,
176897466,Loreal Age perfect,,-26,
176939451,Test Restaturant 2  08-07-2019,102.25,10,
17895054,devpos,,-1,
179021473,black forest,,-13,
181629914,Glass Lunch Box,,-1,
18167472,garlic bread,,-1,
18753529,Lunch box 2,spicy,-2,
18753529,Lunch box 2,medium,-3,
19024475,testaabbcc,,0,
190342305,simplysafedairy,106.25,-4,
190583468,Product ram 28,blue,0,
19211960,dairymilk,chocolate,2,
19211960,dairymilk,dairy,9,
19548339,tomato,,90,
19635244,Combo product 14,,60,
19708950,gps,,50,
198364347,Product ram 25,green,20,
19891344,chaiiii1,,20,
19971318,dcb,,20,
20008184,Veg Chowmein,,20,
20138750,Onion Dosa,,20,
20180879,Combo Product 13,,1,
20234686,Lemon juice,lemon juice A,100,
20234686,Lemon juice,lemon juice B,100,
211631893,Product 11,102.25,10,
216113067,pencil,,10,
216480266,Lips,,0,
2166998112,Water Bottle,,0,
21809429,paneer,,10,
21907885,Manchurian Fried rice,with chese,20,
21907885,Manchurian Fried rice,without souse,30,
21907885,Manchurian Fried rice,extra pices,6,
22182841,Strawberry,,0,
225139374,Product 1788,102.25,8,
230059441,Testing Product 1,102.25,0,
230937185,Chawal,,90,
23693126,whisky,whisky hot,4,
23693126,whisky,whisky cold,80,
24255487,Test Combo Product 11,,90,
24334401,britannia 50-50,,60,
2468,Chawal,,60,
24724791,milk 124,,50,
250176637,Compact Small Lunch Box,medium,58,
250176637,Compact Small Lunch Box,mild,57,
25381710,aaa124,,0,
25665982,Test File123,,5,
25725101,Schezwan Dosa,,2,
25727176,oil,,6,
25826630,cake,,556,
26329168,pepsi,,55,
263487743,lemon jucie,,654,
26897043,dairy,,66,
26928080,lunch box,,66,
27626583,Abhayarishtam,20ml,69,
27626583,Abhayarishtam,450ml,98,
27714899,xxxz,,98,
27756942,Figora Olive Oil,,95,
28185820,waffers,pinkwafers,54,
28185820,waffers,yellowwafers,6,
28403364,golden (200),,4445,
28426979,Egg Samosa,,-20,
28787523,ball,,44,
28808585,scentido test12,,20,
28853292,Test GST Product,5kg,-1,
28853292,Test GST Product,10kg,19,
28853292,Test GST Product,12kg,12,
28853292,Test GST Product,20kg,19,
29108889,Product ram 31,,12,
29307033,Spring Roll,,-1,
29336573,rajatvipin,rajat,9,
29336573,rajatvipin,vipin,9,
29465509,medimix soap (buy 1 get1),,-1,
295602770,Loreal skin Perfect creme,,-19,
29637214,Idli Chaat,,-42,
297743614,Executive Lunch Box with Bag,,-30,
30159302,tranfercsv,,55,
305611819,Testing2,,-1,
310109281,Wella Professional,,-15,
310418385,Test Restaturant nita11  08-07-2019,102.25,10,
31281259,Online APK,,-1,
32614481,abcd,,-12,
326291451,Himalaya Anti Hair fall,,-119,
32761610,category55,,-1,
32806903,ABC,,-1,
33175757,Fruit Punch,,1,
33287725,fererro rocher,,10,
33875275,rack,,100,
341739618,Khadi Professinal,,-56,
34430084,special box,,-3670,
34624495,Veg Spring Roll,,-1,
34816912,123a,,0,
34841181,abc43431,,-1,
349083330,Product ram 21,green,0,
349098446,Product 11,102.25,10,
35117648,Kitkat,,58,
351212390,Niviea Cr,,27,
352496542,Small Plastic Container,,-55,
35498211,Veg Noodles,Spicy,2094,
35498211,Veg Noodles,Mild,-1,
35498211,Veg Noodles,less Spicy,0,
355040571,Classic Lunch Box,,-153,
35739401,eclllll,,10,
357588947,Dum Biriyani,102.25,-2,
35992667,Paneer Pakora,,-2,
362572644,paynearone,102.25,170,
36322323,ABC2,,-6,
36374786,Necklace,,46,
364736151,Product 17881,102.25,10,
36563791,test unit product,,0,
367331908,asian4,102.25,10,
372574524,Product 11 ram,,1,
375538969,Yippee 200,,-156,
37844681,Patanjali Ghee,,-35,
38066407,sujay123,,100,
38296466,cd,,-13,
38674056,Hakka Noodles,,-8,
39043925,qwerty,20ml,17,
39043925,qwerty,30ml,20,
39043925,qwerty,50ml,60,
39043925,qwerty,450ml,0,
391532414,Test Restaturant 11  08-07-2019,102.25,10,
393204218,Test14,,30,
394958538,Misal Pav,,50,
397445150,Test Restaturant 1  08-07-2019,102.25,10,
406735552,Product ram 18,102.25,-3,
40712179,waterbottel,,-1,
40786640,Bajaj olive oil (1 Liter),,-49,
40845777,jkl,,5,
411797789,simply 1,,8,
41198535,white forest,,-2,
41369455,Biriyani,veg,4,
41369455,Biriyani,veg,4,
41369455,Biriyani,Non-veg,7,
41683525,appleabc,,7,
41874530,marigold12,,102,
41906882,niviea test item,,-1,
42388606,bat,,47.92,
42587839,qqqq,veg,98,
42587839,qqqq,Non-veg,99,
42705807,12,,-2,
428827050,mobile 1,,-1,
43158271,testing product,,-40,
4.32758E+11,ghee test,,5,
43647020,sunil11,,97,
44319003,Veg Manchurian,With Gravy,73,
44319003,Veg Manchurian,Dry,9623,
44319003,Veg Manchurian,Extra Picess,-4,
44336450,asdfghjkl,,1.99,
44394265,iPhone,iPhone 5S,90,
44394265,iPhone,iPhone 6S,97,
44394265,iPhone,iPhone SE,96,
44394265,iPhone,Moto X6,-2,
444246035,Product 33,102.25,10,
44464001,Garlic Roast Dosa,,-34,
44698944,Bread Pakora,,802.4334,
44853019,Patanjali soap,,-149,
450973374,Product bread(tilak),102.25,1997,
45159648,rice 12,,-5,
45388966,Kathi Kabab Roll,,-8,
45632145,Pen Set,,-1,
45717121,transfer333,,220,
461719914,Head & Shoulders (Green apple),,-165,
46180957,veg kothe,,24,
467849205,Test Restaturant 1  08-07-2019,102.25,10,
47391844,milk Product,,182,
47436261,Motorola,Moto E4,-5,
47436261,Motorola,Moto G5,-1,
47436261,Motorola,Moto X6,-3,
47436261,Motorola,Note,-6,
47709583,aq,,2,
479069594,Testing3,,-1,
48107870,teststock,,4,
48150463,cup,,-33,
48415219,Butterscotch K,,-2,
48794654,Masala Dosa,,-5,
49516869,Kajal,,-3,
49554754,wh1,,0,
49618172,Expiry test,,51,
49664218,testapc11,,34,
49748336,abc1234,,-1,
49868056,variant test,32 inch,0,
49868056,variant test,red color,0,
49868056,variant test,pink color,0,
49945448,ccd12,,51,
49974367,Plain Dosa,,-5,
50023746,Veg Schezwan Noodles,,11047,
50380551,Plain maggie,,0,
505855341,Test Restaturant 12  08-07-2019,102.25,10,
51187385,testkavya,kavyared,32,
51187385,testkavya,kavyablue,35,
51511218,gugal dhoop sticks,,49,
51583256,Katori Chaat,,-13,
51983247,tandur,,-1,
522930017,rongta58mm,104.25,-6,
526082652,Product ram 13,,1,
526372033,check4,,-121,
52669527,restaurants,,86,
52907911,ij,,405,
53153183,table,,0,
53243087,milkkkk1,,-1,
53395228,Chilli Idli,,-81.7333,
53494894,Test Combo Product 12,,-1,
53641441,samsung,,1,
53879671,chocolate truffle,,-43,
54161598,Appam,,1720.1634,
54900272,tea,,-3,
54977614,liner,,-3,
550170002,Product 11,102.25,10,
551079693,mobile 2,,-2,
55201629,ccd,,2,
55406439,sdsdsds,,10,
55480101,product vipin,,-4,
556186086,parle200,,25,
556622192,simply 2,,-1,
558373512,Product ram 26,red,0,
558735825,Mineral water,,10,
56514303,simplyp,,-5,
56691905,inoutcheck,,16,
568431998,Test Restaturant 51  08-07-2019,102.25,10,
57027306,Test Urbanpiper,,0,
57176110,Clinic Plus 100 ML,,200051999,
574121613,Testing Product 1,102.25,10,
57474072,Mexican Roast Dosa,,-3,
57532820,6666warehouse,,0,
576302989,red velvet,,-2,
576575467,Testing Product 1,102.25,10,
57793160,Sambar Wada,,-4,
583610003,Product 22,102.25,10,
583735436,rice daal,spicy,10,
583735436,rice daal,mild medium,10,
583735436,rice daal,extra spicy,10,
583735436,rice daal,jain,10,
583735436,rice daal,vegan,10,
584975439,rongta80mm3,103.25,-1,
58743074,todaysales112,,-51,
58874136,Corn,,0,
59099529,123,,-65,
595052332,Test13,,-1,
59639402,ransfer5556,,0,
599175389,Monaco,,-1,
60121662,Green Chillies,,-1,
60275895,KETCHUP(PRATIMA),,64,
60576824,waterbottel1,,0,
607398016,mobile 4,,-2,
612504673,asian1,102.25,10,
61272290,Spicy maggie,,101,
615885265,Product 11,102.25,-1,
618426584,Test Restaturant 22 08-07-2019,102.25,10,
61998511,Rawa Idli,,-6,
62574449,ccd11,,30,
62769374,simplygps,,-1,
62962432,Test File,,12,
632129823,Product 11,102.25,10,
638246605,Product44,102.25,10,
63851105,Sev Puri,,-3,
63924679,Uttapam,,-1,
64315467,KOT test1,,100,
645767847,Test Restaturant 2  08-07-2019,102.25,10,
64624658,chai patti,,10,
64917411,Red Wine,,-81,
64996928,Promo prd 1,,-5,
651258430,Test Restaturant 22  08-07-2019,102.25,10,
65265647,80 mm printer,,46,
65454914,red book list,,0,
654612902,AAA,,-5,
65702904,fghh,,0,
657605489,pencil,,30,
66132216,Cello Bottle,,-5,
66322052,User Product,,2,
665250047,Bag2,,50,
66854872,test test,,-1,
668678929,Product 11,102.25,10,
66918119,laptop,,-14,
66923296,123,,-1,
67150257,test 456,,7,
67236615,Potato,,-2,
673260933,Product 11,102.25,10,
676034898,Test Restaturant 10 08-07-2019,102.25,10,
67997498,Onion,,-2,
68065674,testing ice,,9,
68285732,sugar1,,2,
68518186,COPY,,-11,
68621912,Claypot Lucknowi Chicken Biryani,Large,-19,
68621912,Claypot Lucknowi Chicken Biryani,medium,-18,
