Code,Name,Image name,Parent Category Code (optional),Urbanpiper Category,Tax Rate (%)
Breads,Breads,,,Yes,
Cakes,Cakes,,,Yes,
Cookies ,Cookies ,,,Yes,
Tea Cakes,Tea Cakes,,,Yes,
Muffins,Muffins,,,Yes,
Brownies,Brownies,,,Yes,
Croissant ,Croissant ,,,Yes,
Cheese Cakes,Cheese Cakes,,,Yes,
Pies & Tarts ,Pies & Tarts ,,,Yes,
Pastries and others ,Pastries and others ,,,Yes,
Cupcakes ,Cupcakes ,,,Yes,
Macroons ,Macroons ,,,Yes,
Chocolates ,Chocolates ,,,Yes,
Veg Snacks ,Veg Snacks ,,,Yes,
Non Veg Snacks ,Non Veg Snacks ,,,Yes,
Desserts in a Cup,Desserts in a Cup,,,Yes,
Snacks,Snacks,,,Yes,
Christmas,Christmas,,,Yes,
valentines,valentines,,,Yes,
